produto,doadores,receptores,transferencia_total
8106 - CROPPED MALHA REF:7395,"DELICADA ITAGUAI - LOJA: 0.0
DELICADA PAVUNA: 14.0
DELICADA - SJM: 35.0",DELICADA RP - LOJA: -4.0,-4.0
8487 - CROPPED FAIXA NO LISO REF:3354,"DELICADA RP - LOJA: 35.0
DELICADA ITAGUAI - LOJA: 18.0",DELICADA PAVUNA: -4.0,-4.0
7846 - SHORT FEM VERAO ELASTANO,"DELICADA RP - LOJA: 52.0
DELICADA ITAGUAI - LOJA: 57.0",DELICADA PAVUNA: -4.0,-4.0
7724 - SHORT SAIA JEANS FEM REF:84001,"DELICADA RP - LOJA: 6.0
DELICADA PAVUNA: 4.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
8066 - BLUSA MM PLUS SIZE REF:502333,"DELICADA RP - LOJA: 1.0
DELICADA ITAGUAI - LOJA: 5.0",DELICADA PAVUNA: -4.0,-4.0
8538 - SHORT DOLL CANELADO REF:218F,"DELICADA RP - LOJA: 30.0
DELICADA ITAGUAI - LOJA: 37.0
DELICADA PAVUNA: 48.0",DELICADA - SJM: -4.0,-4.0
8003 - CONJ BLUSA BABADO + SHORT TAM U REF:3264,"DELICADA RP - LOJA: 20.0
DELICADA PAVUNA: 38.0
DELICADA - SJM: 28.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7990 - CONJ CALCA .+ CROPPED REF:3265,"DELICADA RP - LOJA: 16.0
DELICADA PAVUNA: 11.0
DELICADA - SJM: 18.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7587 - REGATA VISCO 3 BOTOES REF:2,"DELICADA RP - LOJA: 57.0
DELICADA PAVUNA: 0.0
DELICADA - SJM: 3.0",DELICADA ITAGUAI - LOJA: -4.0,-4.0
7830 - CROPPED DUPLO EST REF:170E,"DELICADA ITAGUAI - LOJA: 25.0
DELICADA PAVUNA: 0.0
DELICADA - SJM: 0.0",DELICADA RP - LOJA: -3.0,-3.0
8507 - BIQUINI REF:3372,DELICADA RP - LOJA: 3.0,DELICADA ITAGUAI - LOJA: -3.0,-3.0
7735 - TOP ALCA 3D REF: 543,DELICADA PAVUNA: 7.0,DELICADA - SJM: -3.0,-3.0
7775 - SHORT COLLOR FEM PT,"DELICADA RP - LOJA: 96.0
DELICADA PAVUNA: 31.0
DELICADA - SJM: 7.0",DELICADA ITAGUAI - LOJA: -3.0,-3.0
6070 - REGATA 3 BOTOES LISA/EST REF:1600,"DELICADA RP - LOJA: 131.0
DELICADA ITAGUAI - LOJA: 22.0
DELICADA - SJM: 20.0",DELICADA PAVUNA: -3.0,-3.0
8185 - SHORT FEM LISO REF:7337,DELICADA PAVUNA: 42.0,DELICADA RP - LOJA: -2.0,-2.0
8491 - KIT 3X1 MEIAS HOAHI SAPATILHA LISA MASC REF: 22001,DELICADA PAVUNA: 139.0,DELICADA RP - LOJA: -2.0,-2.0
8497 - CONJ KIMONO + SHORT EST REF:3176,"DELICADA RP - LOJA: 31.0
DELICADA ITAGUAI - LOJA: 8.0",DELICADA PAVUNA: -2.0,-2.0
8172 - VESTIDO INDIANO LONGO REF:YD3005,DELICADA PAVUNA: 2.0,DELICADA ITAGUAI - LOJA: -2.0,-2.0
7661 - SAIA DE PRAIA,"DELICADA RP - LOJA: 44.0
DELICADA PAVUNA: 30.0
DELICADA - SJM: 33.0",DELICADA ITAGUAI - LOJA: -2.0,-2.0
7760 - SHORT VISCO C/BOLSO LISO,DELICADA - SJM: 15.0,DELICADA PAVUNA: -2.0,-2.0
"4231 - CALCA MASC CASUAL FIT REF:81,82,83,84",DELICADA PAVUNA: 5.0,DELICADA ITAGUAI - LOJA: -2.0,-2.0
5712 - CALCA FEM TOP GRIFF,DELICADA - SJM: 8.0,DELICADA PAVUNA: -2.0,-2.0
5965 - CAMISOLA RENDA REF:198MBL,"DELICADA ITAGUAI - LOJA: 7.0
DELICADA - SJM: 48.0",DELICADA RP - LOJA: -2.0,-2.0
7047 - SHORT JEANS ELAST REF:850,"DELICADA RP - LOJA: 12.0
DELICADA PAVUNA: 1.0",DELICADA - SJM: -2.0,-2.0
7180 - SHORT JEANS FARMY REF:8468,"DELICADA RP - LOJA: 4.0
DELICADA PAVUNA: 5.0",DELICADA - SJM: -2.0,-2.0
7983 - SHORT CAMURCA P AO GG REF:3259,"DELICADA RP - LOJA: 41.0
DELICADA ITAGUAI - LOJA: 6.0
DELICADA PAVUNA: 23.0",DELICADA - SJM: -2.0,-2.0
